感情,Joy,Trust,Fear,Suprise,Sadness,Disgust,Anger,Anticipation
君,0,0,0,0,0,0,0,0
する,0,0,0,0,0,0,0,0
いる,0,0,0,0,0,0,0,0
てる,0,0,0,0,0,0,0,0
僕,0,0,0,0,0,0,0,0
ん,0,0,0,0,0,0,0,0
の,0,0,0,0,0,0,0,0
ない,0,0,0,0,0.3,0,0,0
れる,0,0,0,0,0,0,0,0
あなた,0,0,0,0,0,0,0,0
今,0,0,0,0,0,0,0,0
こと,0,0,0,0,0,0,0,0
何,0,0,0,0.3,0,0,0,0
よう,0,0,0,0,0,0,0,0
you,0,0,0,0,0,0,0,0
誰,0,0,0,0.4,0,0,0,0
ある,0,0,0,0,0,0,0,0
私,0,0,0,0,0,0,0,0
さ,0,0,0,0,0,0,0,0
く,0,0,0,0,0,0,0,0
世界,0,0,0,0,0,0,0,0
the,0,0,0,0,0,0,0,0
一,0,0,0,0,0,0,0,0
られる,0,0,0,0,0,0,0,0
夜,0,0,0,0,0,0,0,0
それ,0,0,0,0,0,0,0,0
いく,0,0,0,0,0,0,0,0.2
未来,0,0,0,0,0,0,0,0.5
もの,0,0,0,0,0,0,0,0
明日,0,0,0,0,0,0,0,0.5
いつ,0,0,0,0,0,0,0,0
どこ,0,0,0.3,0.3,0,0,0,0
言葉,0,0,0,0,0,0,0,0
自分,0,0,0,0,0,0,0,0
僕ら,0,0,0,0,0,0,0,0
s,0,0,0,0,0,0,0,0
今日,0,0,0,0,0,0,0,0
me,0,0,0,0,0,0,0,0
せる,0,0,0,0,0,0,0,0
Oh,0,0,0,0.5,0,0,0,0
二,0,0,0,0,0,0,0,0
ゆく,0,0,0,0,0,0,0,0.2
事,0,0,0,0,0,0,0,0
my,0,0,0,0,0,0,0,0
しまう,0,0,0,0,0.3,0,0,0
ここ,0,0,0,0,0,0,0,0
to,0,0,0,0,0,0,0,0.6
俺,0,0,0,0,0,0,0,0
前,0,0,0,0,0,0,0,0
見える,0.1,0,0,0,0,0,0,0
いつか,0,0,0,0,0,0,0,0.3
ちゃう,0,0,0,0,0,0,0,0
変わる,0,0,0,0,0,0,0,0.1
キミ,0,0,0,0,0,0,0,0
たち,0,0,0,0,0,0,0,0
一,0,0,0,0,0,0,0,0
it,0,0,0,0,0,0,0,0
夏,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
t,0,0,0,0,0,0,0,0
We,0,0,0,0,0,0,0,0
道,0,0,0,0,0,0,0,0
やる,0,0,0,0,0,0,0,0.3
星,0,0,0,0,0,0,0,0
日々,0,0,0,0,0,0,0,0
街,0,0,0,0,0,0,0,0
love,0.7,0.7,0,0,0,0,0,0
your,0,0,0,0,0,0,0,0
You,0,0,0,0,0,0,0,0
oh,0,0,0,0.5,0,0,0,0
みたい,0,0,0,0,0,0,0,0
歌う,0.3,0,0,0,0,0,0,0
歩く,0,0,0,0,0,0,0,0
できる,0.3,0.3,0,0,0,0,0,0.3
踊る,0.5,0,0,0,0,0,0,0.3
up,0,0,0,0,0,0,0,0
on,0,0,0,0,0,0,0,0
合う,0.3,0.5,0,0,0,0,0,0
雨,0,0,0,0,0,0,0,0
瞳,0,0,0,0,0,0,0,0
花,0,0,0,0,0,0,0,0
みんな,0,0,0,0,0,0,0,0
go,0,0,0,0,0,0,0,0.3
Love,0.7,0.7,0,0,0,0,0,0
ら,0,0,0,0,0,0,0,0
一緒,0,0.3,0,0,0,0,0,0
場所,0,0,0,0,0,0,0,0
無い,0,0,0,0,0.5,0,0,0
ほしい,0,0.4,0,0,0,0,0,0.5
なれる,0.3,0,0,0,0,0,0,0.5
in,0,0,0,0,0,0,0,0
Baby,0.3,0.3,0,0,0,0,0,0
and,0,0,0,0,0,0,0,0
Hey,0.1,0,0,0,0,0,0,0
ひとつ,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
あげる,0,0.4,0,0,0,0,0,0
いえる,0.3,0,0,0,0,0,0,0
歌,0.3,0,0,0,0,0,0,0
Yeah,0.6,0,0,0,0,0,0,0
for,0,0,0,0,0,0,0,0
Let,0,0.3,0,0,0,0,0,0
伝える,0.2,0.3,0,0,0,0,0,0.3
Ah,0,0,0,0.5,0,0,0,0
la,0.5,0,0,0,0,0,0,0
描く,0.2,0,0,0,0,0,0,0.3
be,0,0,0,0,0,0,0,0
My,0,0,0,0,0,0,0,0
顔,0,0,0,0,0,0,0,0
これ,0,0,0,0,0,0,0,0
そば,0,0.5,0,0,0,0,0,0
瞬間,0,0,0,0.3,0,0,0,0
Wow,0,0,0,0.7,0,0,0,0
すぎる,0,0,0,0,0,0,0,0
変える,0,0,0,0,0,0,0,0.3
time,0,0,0,0,0,0,0,0
is,0,0,0,0,0,0,0,0
LOVE,0.7,0.9,0,0,0,0,0,0
月,0,0,0,0,0,0,0,0
溢れる,0,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0
はず,0,0.2,0,0,0,0,0,0.2
are,0,0,0,0,0,0,0,0
離れる,0,0,0,0,0.8,0,0,0
進む,0.2,0,0,0,0,0,0,0.5
様,0,0,0,0,0,0,0,0
いま,0,0,0,0,0,0,0,0
出来る,0.5,0,0,0,0,0,0,0.5
越える,0.2,0,0,0,0,0,0,0.4
we,0,0,0,0,0,0,0,0
咲く,0.2,0,0,0,0,0,0,0.3
can,0.5,0,0,0,0,0,0,0.5
No,0,0,0,0,0.4,0.8,0.2,0
一つ,0,0,0,0,0,0,0,0
出る,0,0,0,0,0,0,0,0.2
そこ,0,0,0,0,0,0,0,0
触れる,0.5,0,0,0,0,0,0,0
re,0,0,0,0,0,0,0,0
海,0,0,0,0,0,0,0,0
朝,0,0,0,0,0,0,0,0
yeah,0.8,0,0,0,0,0,0,0
教える,0.2,0.3,0,0,0,0,0,0.3
誓う,0,0.3,0,0,0,0,0,0.7
上,0,0,0,0,0,0,0,0
繋ぐ,0.2,0.5,0,0,0,0,0,0
So,0,0,0,0,0,0,0,0
あたし,0,0,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0
太陽,0,0,0,0,0,0,0,0
お前,0,0,0,0,0,0.3,0.5,0
,,,,,,,,